,Day,Name,Trades,Type
0,1,Barry Gibb,11,Commodities
1,2,Barry Gibb,10,Commodities
2,3,Barry Gibb,11,Commodities
3,4,Barry Gibb,10,Commodities
4,5,Barry Gibb,10,Commodities
5,6,Barry Gibb,9,Commodities
6,7,Barry Gibb,12,Commodities
7,8,Barry Gibb,8,Commodities
8,9,Barry Gibb,13,Commodities
9,10,Barry Gibb,6,Commodities
10,11,Barry Gibb,10,Commodities
11,12,Barry Gibb,11,Commodities
12,13,Barry Gibb,13,Commodities
13,14,Barry Gibb,11,Commodities
14,15,Barry Gibb,9,Commodities
15,16,Barry Gibb,6,Commodities
16,17,Barry Gibb,13,Commodities
17,18,Barry Gibb,10,Commodities
18,19,Barry Gibb,14,Commodities
19,20,Barry Gibb,7,Commodities
20,21,Barry Gibb,7,Commodities
21,22,Barry Gibb,14,Commodities
22,23,Barry Gibb,4,Commodities
23,24,Barry Gibb,10,Commodities
24,25,Barry Gibb,12,Commodities
25,26,Barry Gibb,8,Commodities
26,27,Barry Gibb,12,Commodities
27,28,Barry Gibb,10,Commodities
28,29,Barry Gibb,16,Commodities
29,30,Barry Gibb,10,Commodities
30,31,Barry Gibb,11,Commodities
31,32,Barry Gibb,9,Commodities
32,33,Barry Gibb,8,Commodities
33,34,Barry Gibb,12,Commodities
34,35,Barry Gibb,12,Commodities
35,36,Barry Gibb,3,Commodities
36,37,Barry Gibb,7,Commodities
37,38,Barry Gibb,13,Commodities
38,39,Barry Gibb,9,Commodities
39,40,Barry Gibb,6,Commodities
40,41,Barry Gibb,13,Commodities
41,42,Barry Gibb,11,Commodities
42,43,Barry Gibb,14,Commodities
43,44,Barry Gibb,18,Commodities
44,45,Barry Gibb,12,Commodities
45,46,Barry Gibb,7,Commodities
46,47,Barry Gibb,8,Commodities
47,48,Barry Gibb,17,Commodities
48,49,Barry Gibb,12,Commodities
49,50,Barry Gibb,12,Commodities
50,51,Barry Gibb,12,Commodities
51,52,Barry Gibb,6,Commodities
52,53,Barry Gibb,10,Commodities
53,54,Barry Gibb,12,Commodities
54,55,Barry Gibb,12,Commodities
55,56,Barry Gibb,14,Commodities
56,57,Barry Gibb,9,Commodities
57,58,Barry Gibb,8,Commodities
58,59,Barry Gibb,14,Commodities
59,60,Barry Gibb,14,Commodities
60,61,Barry Gibb,8,Commodities
61,62,Barry Gibb,6,Commodities
62,63,Barry Gibb,11,Commodities
63,64,Barry Gibb,12,Commodities
64,65,Barry Gibb,11,Commodities
65,66,Barry Gibb,11,Commodities
66,67,Barry Gibb,14,Commodities
67,68,Barry Gibb,11,Commodities
68,69,Barry Gibb,13,Commodities
69,70,Barry Gibb,7,Commodities
70,71,Barry Gibb,12,Commodities
71,72,Barry Gibb,6,Commodities
72,73,Barry Gibb,7,Commodities
73,74,Barry Gibb,17,Commodities
74,75,Barry Gibb,10,Commodities
75,76,Barry Gibb,14,Commodities
76,77,Barry Gibb,8,Commodities
77,78,Barry Gibb,7,Commodities
78,79,Barry Gibb,7,Commodities
79,80,Barry Gibb,10,Commodities
80,81,Barry Gibb,7,Commodities
81,82,Barry Gibb,14,Commodities
82,83,Barry Gibb,14,Commodities
83,84,Barry Gibb,10,Commodities
84,85,Barry Gibb,16,Commodities
85,86,Barry Gibb,12,Commodities
86,87,Barry Gibb,13,Commodities
87,88,Barry Gibb,11,Commodities
88,89,Barry Gibb,6,Commodities
89,90,Barry Gibb,8,Commodities
90,91,Barry Gibb,14,Commodities
91,92,Barry Gibb,11,Commodities
92,93,Barry Gibb,15,Commodities
93,94,Barry Gibb,14,Commodities
94,95,Barry Gibb,11,Commodities
95,96,Barry Gibb,13,Commodities
96,97,Barry Gibb,16,Commodities
97,98,Barry Gibb,7,Commodities
98,99,Barry Gibb,11,Commodities
99,100,Barry Gibb,15,Commodities
0,1,Maurice Gibb,5,Stocks
1,2,Maurice Gibb,6,Stocks
2,3,Maurice Gibb,6,Stocks
3,4,Maurice Gibb,2,Stocks
4,5,Maurice Gibb,4,Stocks
5,6,Maurice Gibb,4,Stocks
6,7,Maurice Gibb,3,Stocks
7,8,Maurice Gibb,7,Stocks
8,9,Maurice Gibb,5,Stocks
9,10,Maurice Gibb,2,Stocks
10,11,Maurice Gibb,1,Stocks
11,12,Maurice Gibb,7,Stocks
12,13,Maurice Gibb,7,Stocks
13,14,Maurice Gibb,5,Stocks
14,15,Maurice Gibb,2,Stocks
15,16,Maurice Gibb,9,Stocks
16,17,Maurice Gibb,10,Stocks
17,18,Maurice Gibb,2,Stocks
18,19,Maurice Gibb,2,Stocks
19,20,Maurice Gibb,5,Stocks
20,21,Maurice Gibb,6,Stocks
21,22,Maurice Gibb,3,Stocks
22,23,Maurice Gibb,6,Stocks
23,24,Maurice Gibb,2,Stocks
24,25,Maurice Gibb,6,Stocks
25,26,Maurice Gibb,4,Stocks
26,27,Maurice Gibb,5,Stocks
27,28,Maurice Gibb,5,Stocks
28,29,Maurice Gibb,2,Stocks
29,30,Maurice Gibb,5,Stocks
30,31,Maurice Gibb,7,Stocks
31,32,Maurice Gibb,3,Stocks
32,33,Maurice Gibb,4,Stocks
33,34,Maurice Gibb,3,Stocks
34,35,Maurice Gibb,1,Stocks
35,36,Maurice Gibb,8,Stocks
36,37,Maurice Gibb,7,Stocks
37,38,Maurice Gibb,4,Stocks
38,39,Maurice Gibb,5,Stocks
39,40,Maurice Gibb,4,Stocks
40,41,Maurice Gibb,7,Stocks
41,42,Maurice Gibb,5,Stocks
42,43,Maurice Gibb,1,Stocks
43,44,Maurice Gibb,3,Stocks
44,45,Maurice Gibb,9,Stocks
45,46,Maurice Gibb,5,Stocks
46,47,Maurice Gibb,1,Stocks
47,48,Maurice Gibb,7,Stocks
48,49,Maurice Gibb,4,Stocks
49,50,Maurice Gibb,5,Stocks
50,51,Maurice Gibb,8,Stocks
51,52,Maurice Gibb,7,Stocks
52,53,Maurice Gibb,10,Stocks
53,54,Maurice Gibb,2,Stocks
54,55,Maurice Gibb,5,Stocks
55,56,Maurice Gibb,5,Stocks
56,57,Maurice Gibb,4,Stocks
57,58,Maurice Gibb,5,Stocks
58,59,Maurice Gibb,4,Stocks
59,60,Maurice Gibb,9,Stocks
60,61,Maurice Gibb,6,Stocks
61,62,Maurice Gibb,4,Stocks
62,63,Maurice Gibb,5,Stocks
63,64,Maurice Gibb,15,Stocks
64,65,Maurice Gibb,8,Stocks
65,66,Maurice Gibb,4,Stocks
66,67,Maurice Gibb,2,Stocks
67,68,Maurice Gibb,6,Stocks
68,69,Maurice Gibb,3,Stocks
69,70,Maurice Gibb,4,Stocks
70,71,Maurice Gibb,6,Stocks
71,72,Maurice Gibb,4,Stocks
72,73,Maurice Gibb,6,Stocks
73,74,Maurice Gibb,3,Stocks
74,75,Maurice Gibb,5,Stocks
75,76,Maurice Gibb,1,Stocks
76,77,Maurice Gibb,8,Stocks
77,78,Maurice Gibb,3,Stocks
78,79,Maurice Gibb,6,Stocks
79,80,Maurice Gibb,8,Stocks
80,81,Maurice Gibb,7,Stocks
81,82,Maurice Gibb,6,Stocks
82,83,Maurice Gibb,4,Stocks
83,84,Maurice Gibb,5,Stocks
84,85,Maurice Gibb,1,Stocks
85,86,Maurice Gibb,2,Stocks
86,87,Maurice Gibb,4,Stocks
87,88,Maurice Gibb,2,Stocks
88,89,Maurice Gibb,4,Stocks
89,90,Maurice Gibb,3,Stocks
90,91,Maurice Gibb,4,Stocks
91,92,Maurice Gibb,3,Stocks
92,93,Maurice Gibb,7,Stocks
93,94,Maurice Gibb,4,Stocks
94,95,Maurice Gibb,3,Stocks
95,96,Maurice Gibb,5,Stocks
96,97,Maurice Gibb,5,Stocks
97,98,Maurice Gibb,5,Stocks
98,99,Maurice Gibb,6,Stocks
99,100,Maurice Gibb,8,Stocks
0,1,Robin Gibb,4,Stocks
1,2,Robin Gibb,5,Stocks
2,3,Robin Gibb,10,Stocks
3,4,Robin Gibb,11,Stocks
4,5,Robin Gibb,7,Stocks
5,6,Robin Gibb,5,Stocks
6,7,Robin Gibb,8,Stocks
7,8,Robin Gibb,9,Stocks
8,9,Robin Gibb,14,Stocks
9,10,Robin Gibb,9,Stocks
10,11,Robin Gibb,10,Stocks
11,12,Robin Gibb,14,Stocks
12,13,Robin Gibb,6,Stocks
13,14,Robin Gibb,8,Stocks
14,15,Robin Gibb,9,Stocks
15,16,Robin Gibb,12,Stocks
16,17,Robin Gibb,7,Stocks
17,18,Robin Gibb,8,Stocks
18,19,Robin Gibb,12,Stocks
19,20,Robin Gibb,8,Stocks
20,21,Robin Gibb,11,Stocks
21,22,Robin Gibb,11,Stocks
22,23,Robin Gibb,10,Stocks
23,24,Robin Gibb,10,Stocks
24,25,Robin Gibb,8,Stocks
25,26,Robin Gibb,9,Stocks
26,27,Robin Gibb,9,Stocks
27,28,Robin Gibb,16,Stocks
28,29,Robin Gibb,8,Stocks
29,30,Robin Gibb,12,Stocks
30,31,Robin Gibb,13,Stocks
31,32,Robin Gibb,11,Stocks
32,33,Robin Gibb,9,Stocks
33,34,Robin Gibb,12,Stocks
34,35,Robin Gibb,9,Stocks
35,36,Robin Gibb,7,Stocks
36,37,Robin Gibb,11,Stocks
37,38,Robin Gibb,10,Stocks
38,39,Robin Gibb,9,Stocks
39,40,Robin Gibb,10,Stocks
40,41,Robin Gibb,5,Stocks
41,42,Robin Gibb,11,Stocks
42,43,Robin Gibb,7,Stocks
43,44,Robin Gibb,9,Stocks
44,45,Robin Gibb,5,Stocks
45,46,Robin Gibb,7,Stocks
46,47,Robin Gibb,11,Stocks
47,48,Robin Gibb,11,Stocks
48,49,Robin Gibb,12,Stocks
49,50,Robin Gibb,14,Stocks
50,51,Robin Gibb,8,Stocks
51,52,Robin Gibb,8,Stocks
52,53,Robin Gibb,12,Stocks
53,54,Robin Gibb,6,Stocks
54,55,Robin Gibb,11,Stocks
55,56,Robin Gibb,10,Stocks
56,57,Robin Gibb,14,Stocks
57,58,Robin Gibb,4,Stocks
58,59,Robin Gibb,6,Stocks
59,60,Robin Gibb,12,Stocks
60,61,Robin Gibb,13,Stocks
61,62,Robin Gibb,10,Stocks
62,63,Robin Gibb,12,Stocks
63,64,Robin Gibb,9,Stocks
0,65,Robin Gibb,90,Currency
1,66,Robin Gibb,85,Currency
2,67,Robin Gibb,78,Currency
3,68,Robin Gibb,88,Currency
4,69,Robin Gibb,74,Currency
5,70,Robin Gibb,55,Currency
6,71,Robin Gibb,75,Currency
7,72,Robin Gibb,62,Currency
8,73,Robin Gibb,84,Currency
9,74,Robin Gibb,91,Currency
10,75,Robin Gibb,80,Currency
11,76,Robin Gibb,80,Currency
12,77,Robin Gibb,79,Currency
13,78,Robin Gibb,63,Currency
14,79,Robin Gibb,77,Currency
15,80,Robin Gibb,83,Currency
16,81,Robin Gibb,83,Currency
17,82,Robin Gibb,81,Currency
18,83,Robin Gibb,83,Currency
19,84,Robin Gibb,65,Currency
20,85,Robin Gibb,101,Currency
21,86,Robin Gibb,78,Currency
22,87,Robin Gibb,80,Currency
23,88,Robin Gibb,86,Currency
24,89,Robin Gibb,91,Currency
25,90,Robin Gibb,89,Currency
26,91,Robin Gibb,85,Currency
27,92,Robin Gibb,91,Currency
28,93,Robin Gibb,91,Currency
29,94,Robin Gibb,72,Currency
30,95,Robin Gibb,79,Currency
31,96,Robin Gibb,96,Currency
32,97,Robin Gibb,84,Currency
33,98,Robin Gibb,81,Currency
34,99,Robin Gibb,88,Currency
35,100,Robin Gibb,84,Currency
0,1,Liam Neeson,62,Stocks
1,2,Liam Neeson,60,Stocks
2,3,Liam Neeson,90,Stocks
3,4,Liam Neeson,71,Stocks
4,5,Liam Neeson,65,Stocks
5,6,Liam Neeson,65,Stocks
6,7,Liam Neeson,48,Stocks
7,8,Liam Neeson,54,Stocks
8,9,Liam Neeson,62,Stocks
9,10,Liam Neeson,62,Stocks
10,11,Liam Neeson,59,Stocks
11,12,Liam Neeson,50,Stocks
12,13,Liam Neeson,76,Stocks
13,14,Liam Neeson,68,Stocks
14,15,Liam Neeson,54,Stocks
15,16,Liam Neeson,69,Stocks
16,17,Liam Neeson,61,Stocks
17,18,Liam Neeson,55,Stocks
18,19,Liam Neeson,63,Stocks
19,20,Liam Neeson,46,Stocks
20,21,Liam Neeson,63,Stocks
21,22,Liam Neeson,65,Stocks
22,23,Liam Neeson,57,Stocks
23,24,Liam Neeson,75,Stocks
24,25,Liam Neeson,53,Stocks
25,26,Liam Neeson,55,Stocks
26,27,Liam Neeson,51,Stocks
27,28,Liam Neeson,47,Stocks
28,29,Liam Neeson,66,Stocks
29,30,Liam Neeson,83,Stocks
30,31,Liam Neeson,62,Stocks
31,32,Liam Neeson,62,Stocks
32,33,Liam Neeson,75,Stocks
33,34,Liam Neeson,58,Stocks
34,35,Liam Neeson,59,Stocks
35,36,Liam Neeson,64,Stocks
36,37,Liam Neeson,52,Stocks
37,38,Liam Neeson,60,Stocks
38,39,Liam Neeson,54,Stocks
39,40,Liam Neeson,70,Stocks
0,41,Liam Neeson,77,Stocks
1,42,Liam Neeson,57,Stocks
2,43,Liam Neeson,66,Stocks
3,44,Liam Neeson,87,Stocks
4,45,Liam Neeson,80,Stocks
5,46,Liam Neeson,69,Stocks
6,47,Liam Neeson,65,Stocks
7,48,Liam Neeson,72,Stocks
8,49,Liam Neeson,71,Stocks
9,50,Liam Neeson,87,Stocks
10,51,Liam Neeson,75,Stocks
11,52,Liam Neeson,83,Stocks
12,53,Liam Neeson,76,Stocks
13,54,Liam Neeson,68,Stocks
14,55,Liam Neeson,75,Stocks
15,56,Liam Neeson,73,Stocks
16,57,Liam Neeson,84,Stocks
17,58,Liam Neeson,57,Stocks
18,59,Liam Neeson,70,Stocks
19,60,Liam Neeson,78,Stocks
20,61,Liam Neeson,65,Stocks
21,62,Liam Neeson,49,Stocks
22,63,Liam Neeson,84,Stocks
23,64,Liam Neeson,71,Stocks
24,65,Liam Neeson,69,Stocks
25,66,Liam Neeson,71,Stocks
26,67,Liam Neeson,56,Stocks
27,68,Liam Neeson,77,Stocks
28,69,Liam Neeson,71,Stocks
29,70,Liam Neeson,64,Stocks
30,71,Liam Neeson,78,Stocks
31,72,Liam Neeson,66,Stocks
32,73,Liam Neeson,71,Stocks
33,74,Liam Neeson,72,Stocks
34,75,Liam Neeson,60,Stocks
35,76,Liam Neeson,64,Stocks
36,77,Liam Neeson,78,Stocks
37,78,Liam Neeson,61,Stocks
38,79,Liam Neeson,86,Stocks
39,80,Liam Neeson,77,Stocks
40,81,Liam Neeson,74,Stocks
41,82,Liam Neeson,66,Stocks
42,83,Liam Neeson,74,Stocks
43,84,Liam Neeson,89,Stocks
44,85,Liam Neeson,73,Stocks
45,86,Liam Neeson,77,Stocks
46,87,Liam Neeson,69,Stocks
47,88,Liam Neeson,60,Stocks
48,89,Liam Neeson,71,Stocks
49,90,Liam Neeson,68,Stocks
50,91,Liam Neeson,83,Stocks
51,92,Liam Neeson,88,Stocks
52,93,Liam Neeson,70,Stocks
53,94,Liam Neeson,68,Stocks
54,95,Liam Neeson,86,Stocks
55,96,Liam Neeson,75,Stocks
56,97,Liam Neeson,75,Stocks
57,98,Liam Neeson,75,Stocks
58,99,Liam Neeson,64,Stocks
59,100,Liam Neeson,68,Stocks
0,1,Iron Man,29,Currency
1,2,Iron Man,21,Currency
2,3,Iron Man,22,Currency
3,4,Iron Man,33,Currency
4,5,Iron Man,21,Currency
5,6,Iron Man,17,Currency
6,7,Iron Man,17,Currency
7,8,Iron Man,16,Currency
8,9,Iron Man,24,Currency
9,10,Iron Man,11,Currency
10,11,Iron Man,29,Currency
11,12,Iron Man,17,Currency
12,13,Iron Man,26,Currency
13,14,Iron Man,19,Currency
14,15,Iron Man,23,Currency
